PurchaseID,No Nota,SupplierID,TransactionDate,Remarks,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
280,B160,79,2014-09-03,,2018-05-02,Admin,,
281,B161,79,2014-09-03,,2018-05-02,Admin,,
282,B322,79,2014-09-18,,2018-05-02,Admin,,
283,B429,79,2014-07-21,,2018-05-02,Admin,,
284,B535,79,2014-07-03,,2018-05-02,Admin,,
285,B634,79,2014-08-19,,2018-05-02,Admin,,
286,B689,79,2014-08-28,,2018-05-02,Admin,,
287,B785,79,2014-08-07,,2018-05-02,Admin,,
288,B786,79,2014-08-07,,2018-05-02,Admin,,
289,B787,3/19/1900,2014-08-07,,2018-05-02,Admin,,
290,B875,79,2014-07-12,,2018-05-02,Admin,,
291,B917,79,2014-07-08,,2018-05-02,Admin,,
292,B944,79,2014-07-15,,2018-05-02,Admin,,
293,B990,79,2014-06-26,,2018-05-02,Admin,,
294,C0076,79,2014-12-08,,2018-05-02,Admin,,
295,C0077,79,2014-12-08,,2018-05-02,Admin,,
296,C0179,79,2015-03-02,,2018-05-02,Admin,,
297,c0225,79,2014-10-20,,2018-05-02,Admin,,
298,C02415,79,2014-07-12,,2018-05-02,Admin,,
299,C0246,3/19/1900,2014-10-27,,2018-05-02,Admin,,
300,C0273,79,2014-01-18,,2018-05-02,Admin,,
301,C0374,79,2015-02-16,,2018-05-02,Admin,,
302,C0426,79,2015-02-09,,2018-05-02,Admin,,
303,C0433,79,2015-11-02,,2018-05-02,Admin,,
304,C0433,79,2015-02-11,,2018-05-02,Admin,,
305,C0456,79,2015-01-11,,2018-05-02,Admin,,
306,C0666,79,2015-02-01,,2018-05-02,Admin,,
307,D0712,79,2014-11-18,,2018-05-02,Admin,,
308,D3173,79,2014-07-24,,2018-05-02,Admin,,
309,DO742,79,2014-11-20,,2018-05-02,Admin,,
310,F 1132,79,2015-09-20,,2018-05-02,Admin,,
311,F 1150,79,2015-09-25,,2018-05-02,Admin,,
312,F 1152,79,2015-09-09,,2018-05-02,Admin,,
313,F 1343,79,2015-10-11,,2018-05-02,Admin,,
314,F 1673,79,2015-11-22,,2018-05-02,Admin,,
315,F0081,79,2015-03-19,,2018-05-02,Admin,,
316,F0226,79,2015-01-04,,2018-05-02,Admin,,
317,F0227,79,2015-01-04,,2018-05-02,Admin,,
318,F0335,79,2015-04-20,,2018-05-02,Admin,,
319,F0464,79,2015-02-05,,2018-05-02,Admin,,
320,F0633,79,2015-07-27,,2018-05-02,Admin,,
321,F1043,79,2015-05-08,,2018-05-02,Admin,,
322,F1777,79,2015-12-11,,2018-05-02,Admin,,
323,G 220,79,2015-10-25,,2018-05-02,Admin,,
324,RETUR,79,2015-09-24,,2018-05-02,Admin,,
325,2128,79,2013-05-27,,2018-05-02,Admin,,
326,28,79,2013-10-18,,2018-05-02,Admin,,
327,61,79,2013-10-04,,2018-05-02,Admin,,
