PurchaseID;PurchaseNumber;SupplierID;TransactionDate;PaymentTypeID;Deadline;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
263;048704/15;1;2015-11-30;1;;;2018-08-21;Admin1;;
264;064501/16;12;2016-06-30;1;;;2018-08-21;Admin1;;
265;044936/15;12;2015-10-03;1;;;2018-08-21;Admin1;;
266;039077/15;12;2015-07-04;1;;;2018-08-21;Admin1;;
267;039078/15;12;2015-07-04;1;;;2018-08-21;Admin1;;
268;050999/16;12;2016-01-08;1;;;2018-08-21;Admin1;;
269;057736/16;12;2016-04-08;1;;;2018-08-21;Admin1;;
270;VK1507795;12;2015-07-08;1;;;2018-08-21;Admin1;;
271;VK-1601809;1;2016-02-10;1;;;2018-08-21;Admin1;;
272;SP1600674;6;2016-02-10;1;;;2018-08-21;Admin1;;
273;vk-1508166;7;2015-08-03;1;;;2018-08-21;Admin1;;
274;SP111016;7;2016-11-10;1;;;2018-08-21;Admin1;;
275;vk1605506;7;2016-05-11;1;;;2018-08-21;Admin1;;
276;VK 1501764;7;2015-12-02;1;;;2018-08-21;Admin1;;
277;VK1613254;7;2016-11-14;1;;;2018-08-21;Admin1;;
278;VK1602047;7;2016-02-15;1;;;2018-08-21;Admin1;;
279;VA000119;7;2016-02-16;1;;;2018-08-21;Admin1;;
280;VK1604634;7;2016-04-16;1;;;2018-08-21;Admin1;;
281;vk16057337;7;2016-05-16;1;;;2018-08-21;Admin1;;
282;SP18816;7;2016-08-18;1;;;2018-08-21;Admin1;;
283;VK1613454;7;2016-11-19;1;;;2018-08-21;Admin1;;
284;VK1613537;7;2016-11-19;1;;;2018-08-21;Admin1;;
285;vk1505982;7;2015-06-01;1;;;2018-08-21;Admin1;;
286;VK1604736;7;2016-04-20;1;;;2018-08-21;Admin1;;
287;VK-1602389;7;2016-02-22;1;;;2018-08-21;Admin1;;
288;VK1513967;7;2015-11-25;1;;;2018-08-21;Admin1;;
289;vk1604931;7;2016-04-25;1;;;2018-08-21;Admin1;;
290;SP25816;7;2016-08-25;1;;;2018-08-21;Admin1;;
291;VK1601169;7;2016-01-26;1;;;2018-08-21;Admin1;;
292;VK1505812;7;2015-05-27;1;;;2018-08-21;Admin1;;
293;VR1601277;7;2016-06-28;1;;;2018-08-21;Admin1;;
294;VK1611324;7;2016-09-27;1;;;2018-08-21;Admin1;;
295;VK 1505831;7;2015-05-28;1;;;2018-08-21;Admin1;;
296;VJ1607844;7;2016-06-28;1;;;2018-08-21;Admin1;;
297;VK-1502475;7;2015-03-12;1;;;2018-08-21;Admin1;;
298;SP31516;7;2016-05-31;1;;;2018-08-21;Admin1;;
299;VK1602880;7;2016-03-03;1;;;2018-08-21;Admin1;;
300;VK-1502320;7;2015-03-09;1;;;2018-08-21;Admin1;;
301;VK1604070;7;2016-04-04;1;;;2018-08-21;Admin1;;
302;vk1605324;7;2016-05-04;1;;;2018-08-21;Admin1;;
303;VK-1609019;7;2016-04-08;1;;;2018-08-21;Admin1;;
304;vk1511450;7;2015-10-05;1;;;2018-08-21;Admin1;;
305;VK1604220;7;2016-04-06;1;;;2018-08-21;Admin1;;
306;VK1612984;7;2016-11-07;1;;;2018-08-21;Admin1;;
307;VB1600476;7;2016-03-07;1;;;2018-08-21;Admin1;;
308;SP1601147;7;2016-03-07;1;;;2018-08-21;Admin1;;
309;VK1603036;7;2016-03-07;1;;;2018-08-21;Admin1;;
310;VK1604245;7;2016-04-07;1;;;2018-08-21;Admin1;;
311;SP-1501297;7;2015-09-04;1;;;2018-08-21;Admin1;;
312;F0633;7;2015-07-27;1;;;2018-08-21;Admin1;;
313;F1043;7;2015-08-05;1;;;2018-08-21;Admin1;;
314;HH100;7;2016-04-10;1;;;2018-08-21;Admin1;;
315;H1564;7;2016-04-10;1;;;2018-08-21;Admin1;;
316;1394;7;2015-10-09;1;;;2018-08-21;Admin1;;
317;F 1343;7;2015-10-11;1;;;2018-08-21;Admin1;;
318;C0456;7;2015-11-01;1;;;2018-08-21;Admin1;;
319;T11215;7;2015-11-02;1;;;2018-08-21;Admin1;;
320;C0666;7;2015-01-02;1;;;2018-08-21;Admin1;;
321;K000336;7;2016-11-13;1;;;2018-08-21;Admin1;;
322;T131216;7;2016-12-13;1;;;2018-08-21;Admin1;;
323;T14216;7;2016-02-14;1;;;2018-08-21;Admin1;;
324;T14816;7;2016-08-14;1;;;2018-08-21;Admin1;;
325;T14816;7;2016-09-30;1;;;2018-08-21;Admin1;;
326;2998;7;2016-05-15;1;;;2018-08-21;Admin1;;
327;B944;7;2015-07-14;1;;;2018-08-21;Admin1;;
328;F1820;7;2015-12-16;1;;;2018-08-21;Admin1;;
329;C0374;7;2015-02-16;1;;;2018-08-21;Admin1;;
330;C3496;7;2016-04-17;1;;;2018-08-21;Admin1;;
331;000420;7;2016-12-18;1;;;2018-08-21;Admin1;;
332;F1916;7;2016-01-19;1;;;2018-08-21;Admin1;;
333;F0081;7;2015-03-19;1;;;2018-08-21;Admin1;;
334;F 1152;7;2015-09-09;1;;;2018-08-21;Admin1;;
335;F1833;7;2015-12-20;1;;;2018-08-21;Admin1;;
336;F 1132;7;2015-09-20;1;;;2018-08-21;Admin1;;
337;T21115;7;2015-02-11;1;;;2018-08-21;Admin1;;
338;F 1673;7;2015-11-22;1;;;2018-08-21;Admin1;;
339;T221116;7;2016-11-22;1;;;2018-08-21;Admin1;;
340;C0179;7;2015-02-03;1;;;2018-08-21;Admin1;;
341;300;7;2016-04-24;1;;;2018-08-21;Admin1;;
342;G 220;7;2015-10-25;1;;;2018-08-21;Admin1;;
343;H283;7;2016-03-25;1;;;2018-08-21;Admin1;;
344;HH61;7;2016-03-25;1;;;2018-08-21;Admin1;;
345;HH60;7;2016-03-25;1;;;2018-08-21;Admin1;;
346;F 1150;7;2015-09-25;1;;;2018-08-21;Admin1;;
347;J 1462;7;2016-10-26;1;;;2018-08-21;Admin1;;
348;H003874;7;2016-06-28;1;;;2018-08-21;Admin1;;
349;T28816;7;2016-08-28;1;;;2018-08-21;Admin1;;
