PurchaseDetailsID;PurchaseID;ItemID;ItemDetailsID;BranchID;Quantity;BuyPrice;RetailPrice;Price1;Price2;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
4209;675;4161;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4210;675;4162;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4211;675;4163;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4212;675;4164;;1;2;14000;25000;0;0;2018-08-21;Admin1;;
4213;676;4165;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4214;675;4166;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4215;675;4167;;1;2;12500;20000;0;0;2018-08-21;Admin1;;
4216;675;4168;;1;2;42500;75000;0;0;2018-08-21;Admin1;;
4217;675;4169;;1;2;125000;140000;0;0;2018-08-21;Admin1;;
4218;675;4170;;1;1;22500;30000;0;0;2018-08-21;Admin1;;
4219;675;4171;;1;3;22500;30000;0;0;2018-08-21;Admin1;;
4220;675;4172;;1;3;22500;30000;0;0;2018-08-21;Admin1;;
4221;677;4173;;1;5;10500;17500;0;0;2018-08-21;Admin1;;
4222;677;4174;;1;5;10500;17500;0;0;2018-08-21;Admin1;;
4223;677;4175;;1;2;10500;17500;0;0;2018-08-21;Admin1;;
4224;676;4176;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4225;677;4177;;1;3;10500;17500;0;0;2018-08-21;Admin1;;
4226;677;4178;;1;2;10500;17500;0;0;2018-08-21;Admin1;;
4227;677;4179;;1;5;10500;17500;0;0;2018-08-21;Admin1;;
4228;677;4180;;1;4;7500;20000;0;0;2018-08-21;Admin1;;
4229;677;4181;;1;5;12500;25000;0;0;2018-08-21;Admin1;;
4230;677;4182;;1;5;6000;12000;0;0;2018-08-21;Admin1;;
4231;677;4183;;1;3;9500;20000;0;0;2018-08-21;Admin1;;
4232;677;4184;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4233;677;4185;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4234;677;4186;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
4235;676;4187;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4236;677;4188;;1;3;17500;32500;0;0;2018-08-21;Admin1;;
4237;677;4189;;1;0;17500;32500;0;0;2018-08-21;Admin1;;
4238;677;4190;;1;50;350;2000;0;0;2018-08-21;Admin1;;
4239;677;4191;;1;44;350;2000;0;0;2018-08-21;Admin1;;
4240;677;4192;;1;44;480;2000;0;0;2018-08-21;Admin1;;
4241;677;4193;;1;5;24000;37500;0;0;2018-08-21;Admin1;;
4242;676;4194;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4243;632;4195;;1;2;87500;110000;0;0;2018-08-21;Admin1;;
4244;676;4196;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4245;676;4197;;1;1;14500;27500;0;0;2018-08-21;Admin1;;
4246;676;4198;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4247;676;4199;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4248;676;4200;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4249;676;4201;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4250;676;4202;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4251;676;4203;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4252;676;4204;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4253;676;4205;;1;10;14500;27500;0;0;2018-08-21;Admin1;;
4254;632;4206;;1;2;87500;110000;0;0;2018-08-21;Admin1;;
4255;676;4207;;1;9;8500;15000;0;0;2018-08-21;Admin1;;
4256;676;4208;;1;6;14500;27500;0;0;2018-08-21;Admin1;;
4257;676;4209;;1;9;9500;15000;0;0;2018-08-21;Admin1;;
4258;676;4210;;1;10;6500;15000;0;0;2018-08-21;Admin1;;
4259;633;4211;;1;2;13500;25000;0;0;2018-08-21;Admin1;;
4260;633;4212;;1;2;13500;25000;0;0;2018-08-21;Admin1;;
4261;633;4213;;1;2;37000;50000;0;0;2018-08-21;Admin1;;
4262;633;4214;;1;2;13500;25000;0;0;2018-08-21;Admin1;;
4263;633;4215;;1;2;13500;25000;0;0;2018-08-21;Admin1;;
4264;633;4216;;1;1;19500;35000;0;0;2018-08-21;Admin1;;
4265;678;4217;;1;1;25000;35000;0;0;2018-08-21;Admin1;;
4266;679;4218;;1;2;7200;9700;0;0;2018-08-21;Admin1;;
4267;680;4219;;1;2;9200;12500;0;0;2018-08-21;Admin1;;
4268;680;4220;;1;2;6000;8000;0;0;2018-08-21;Admin1;;
4269;680;4221;;1;2;7480;10000;0;0;2018-08-21;Admin1;;
4270;680;4222;;1;2;6000;8000;0;0;2018-08-21;Admin1;;
4271;680;4223;;1;2;6000;8000;0;0;2018-08-21;Admin1;;
4272;680;4224;;1;5;1800;2500;0;0;2018-08-21;Admin1;;
